Year,Pendelrichtung,Value
2008,	Einpendler*innen,	47558
2014,	Einpendler*innen,	50010
2018,	Einpendler*innen,	52477
2020,	Einpendler*innen,	53108
2021,	Einpendler*innen,	56062
2008,	Berufseinpendler*innen (einschl Auszubildende),	33363
2014,	Berufseinpendler*innen (einschl Auszubildende),	36615
2018,	Berufseinpendler*innen (einschl Auszubildende),	39368
2020,	Berufseinpendler*innen (einschl Auszubildende),	39942
2021,	Berufseinpendler*innen (einschl Auszubildende),	41191
2022,	Berufseinpendler*innen (einschl Auszubildende),	41991
2023,	Berufseinpendler*innen (einschl Auszubildende),	41660
2008,	Berufsauspendler*innen (einschl. Azubis),	8442
2014,	Berufsauspendler*innen (einschl. Azubis),	9919
2018,	Berufsauspendler*innen (einschl. Azubis),	12287
2020,	Berufsauspendler*innen (einschl. Azubis),	12031
2021,	Berufsauspendler*innen (einschl. Azubis),	12953
2022,	Berufsauspendler*innen (einschl. Azubis),	13377
2023,	Berufsauspendler*innen (einschl. Azubis),	13340
2008,	Berufspendler-Saldo (Anzahl),	24921
2014,	Berufspendler-Saldo (Anzahl),	26696
2018,	Berufspendler-Saldo (Anzahl),	27081
2020,	Berufspendler-Saldo (Anzahl),	27911
2021,	Berufspendler-Saldo (Anzahl),	28238
2022,	Berufspendler-Saldo (Anzahl),	28614
2023,	Berufspendler-Saldo (Anzahl),	28320

