Year,Value
2010,	Kinderarmut anteilig in %,	21
2011,	Kinderarmut anteilig in %,	20.3
2012,	Kinderarmut anteilig in %,	19.4
2013,	Kinderarmut anteilig in %,	18.6
2014,	Kinderarmut anteilig in %,	18
2015,	Kinderarmut anteilig in %,	17.3
2016,	Kinderarmut anteilig in %,	16
2017,	Kinderarmut anteilig in %,	16.8
2018,	Kinderarmut anteilig in %, 17.8
2019,	Kinderarmut anteilig in %,	17.5
2020,	Kinderarmut anteilig in %,	17.9
2021,	Kinderarmut anteilig in %,	17.5
2022,	Kinderarmut anteilig in %,	18.7
2023,	Kinderarmut anteilig in %,	
2010,	Altersarmut anteilig in %,	3.8
2011,	Altersarmut anteilig in %,	4
2012,	Altersarmut anteilig in %,	4.3
2013,	Altersarmut anteilig in %,	4.8
2014,	Altersarmut anteilig in %,	5
2015,	Altersarmut anteilig in %,	5
2016,	Altersarmut anteilig in %,	4.9
2017,	Altersarmut anteilig in %,	5
2018,	Altersarmut anteilig in %,	5.3
2019,	Altersarmut anteilig in %,	5.2
2020,	Altersarmut anteilig in %,	5.2
2021,	Altersarmut anteilig in %,	5.8
2022,	Altersarmut anteilig in %,	6.6
2023,	Altersarmut anteilig in %,	

